Temperature (°C ),W/C,RA_Type_enc,  Binder  (kg/m3),FA (kg/m3), CA (kg/m3),RA (kg/m3)
200,0.42,0,436,377.22299999999996,1550.0,159.39000000000001
30,0.47,2,479,471.0,742.0,312.0
400,0.42,3,435,350.70750000000004,1569.0,288.75
100,0.42,0,436,377.22299999999996,1550.0,159.39000000000001
100,0.42,0,436,404.1675,1550.0,132.82500000000002
30,0.42,3,435,377.68499999999995,1569.0,247.5
200,0.42,0,436,377.22299999999996,1550.0,159.39000000000001
100,0.42,3,435,539.5500000000001,1569.0,0.0
30,0.42,0,436,511.9455,1550.0,26.565
100,0.42,0,436,377.22299999999996,1550.0,159.39000000000001
30,0.51,6,295,488.0,1111.0,209.0
800,0.42,0,436,458.0565,1550.0,79.69500000000001
400,0.42,1,510,749.6999999999999,0.0,487.30499999999995
100,0.42,3,435,539.5500000000001,1569.0,0.0
100,0.42,3,435,485.5950000000001,1569.0,82.5
700,0.42,3,435,485.5950000000001,1569.0,82.5
500,0.42,0,436,377.22299999999996,1550.0,159.39000000000001
800,0.42,3,435,377.68499999999995,1569.0,247.5
500,0.42,0,436,350.27850000000007,1550.0,185.95499999999998
800,0.42,3,435,350.70750000000004,1569.0,288.75
400,0.42,0,436,377.22299999999996,1550.0,159.39000000000001
600,0.42,0,436,404.1675,1550.0,132.82500000000002
600,0.42,3,435,323.73,1569.0,330.0
400,0.42,3,435,512.5725,1569.0,41.25
30,0.42,0,436,458.0565,1550.0,79.69500000000001
30,0.51,6,295,488.0,1111.0,209.0
30,0.47,2,479,627.0,742.0,78.0
30,0.51,6,295,558.0,1111.0,140.0
30,0.47,2,479,588.0,742.0,196.0
400,0.42,3,435,539.5500000000001,1569.0,0.0
200,0.42,3,435,404.6625,1569.0,206.25
200,0.42,0,436,377.22299999999996,1550.0,159.39000000000001
100,0.42,3,435,512.5725,1569.0,41.25
30,0.47,2,479,510.0,742.0,138.0
30,0.47,2,479,588.0,742.0,58.5
700,0.42,0,436,458.0565,1550.0,79.69500000000001
200,0.42,0,436,350.27850000000007,1550.0,185.95499999999998
30,0.42,0,436,323.334,1550.0,212.52
700,0.42,3,435,350.70750000000004,1569.0,288.75
600,0.42,0,436,511.9455,1550.0,26.565
500,0.42,3,435,512.5725,1569.0,41.25
100,0.42,3,435,377.68499999999995,1569.0,247.5
600,0.42,3,435,431.64000000000004,1569.0,165.0
30,0.42,3,435,512.5725,1569.0,41.25
25,0.53,5,380,429.0,1020.0,286.0
30,0.47,2,479,627.0,742.0,157.0
600,0.42,0,436,350.27850000000007,1550.0,185.95499999999998
30,0.42,3,458,533.0,942.0,178.0
30,0.42,3,435,512.5725,1569.0,41.25
200,0.42,0,436,485.0010000000001,1550.0,53.13
800,0.42,3,435,431.64000000000004,1569.0,165.0
200,0.42,0,436,538.89,1550.0,0.0
700,0.42,3,435,404.6625,1569.0,206.25
30,0.47,2,479,588.0,742.0,196.0
30,0.42,3,435,350.70750000000004,1569.0,288.75
600,0.42,3,435,485.5950000000001,1569.0,82.5
600,0.42,3,435,431.64000000000004,1569.0,165.0
30,0.51,6,295,663.0,1111.0,35.0
100,0.42,1,510,749.6999999999999,0.0,487.30499999999995
600,0.42,3,435,458.61750000000006,1569.0,123.75
500,0.42,3,435,512.5725,1569.0,41.25
250,0.5,4,450,645.0,940.0,63.0
200,0.42,3,435,431.64000000000004,1569.0,165.0
100,0.42,0,436,538.89,1550.0,0.0
30,0.42,3,458,417.0,953.0,278.0
30,0.51,6,295,663.0,1111.0,35.0
300,0.42,1,510,749.6999999999999,0.0,487.30499999999995
100,0.42,1,510,749.6999999999999,0.0,487.30499999999995
200,0.42,0,436,323.334,1550.0,212.52
400,0.42,1,510,749.6999999999999,0.0,487.30499999999995
500,0.42,3,435,350.70750000000004,1569.0,288.75
700,0.42,3,435,431.64000000000004,1569.0,165.0
700,0.42,0,436,323.334,1550.0,212.52
800,0.42,0,436,485.0010000000001,1550.0,53.13
400,0.42,0,436,485.0010000000001,1550.0,53.13
400,0.42,0,436,538.89,1550.0,0.0
200,0.42,3,435,485.5950000000001,1569.0,82.5
30,0.42,3,458,695.68,928.0,37.11
30,0.51,6,295,453.0,1111.0,245.0
400,0.42,3,435,539.5500000000001,1569.0,0.0
100,0.42,0,436,323.334,1550.0,212.52
25,0.53,5,380,500.5,1020.0,214.5
100,0.42,3,435,458.61750000000006,1569.0,123.75
100,0.42,0,436,323.334,1550.0,212.52
30,0.47,2,479,588.0,742.0,196.0
